intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4417000,0.015245017843953419,0.8774334525228447,0.015245017843953419,0.0152597148296095,1.014489472492642,1.0,0.3334334640885207,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME143131.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,42f89d74d13f7a7c87a204599b776dd4,0.8774334525228447,4417000,0,285317000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
4085000,0.014099139210448204,0.7637795275590551,0.014061173352109177,0.014418574556698644,1.039273441335297,1.0,0.4324004107480804,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME147854.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,a6ed57345adff300f7c23ebabe4ca008,0.7658417697787776,4074000,1,281243000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
4033000,0.013919664243754615,0.7375860145062303,0.013688417652053263,0.01521544428892998,1.1265758951084215,1.0,0.36503058426273577,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME143505.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,0e2564740525a72dfc99cbc77355a3eb,0.750046494327692,3966000,2,277277000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
3808000,0.01314308986863813,0.553478712357217,0.012877328860264933,0.012971268419098993,1.0209059233449478,1.0,0.16401663791362253,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME143232.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,1497cb15f96c003d18a6b5bdc62cc90f,0.564901349948079,3731000,3,273546000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
3429000,0.01183499347677525,0.4932339972631899,0.011196476768346139,0.011088067727116388,1.0036991368680641,1.0,0.06070793403250886,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME096203.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,b584dc3c6a2ce6c8a93bb2dfcbc2c5f3,0.5213623232476813,3244000,4,270302000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
2976000,0.010271490401540724,0.7144572526416907,0.010268038959873538,0.010652173172733433,1.0514285714285714,1.0,0.7440817314309095,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME000295.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,8d1c4b20dfeda79c9aaf355086c095c3,0.7146974063400576,2975000,5,267327000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
2855000,0.009853865959811412,0.6330544879041374,0.009664036668116271,0.009633950737104503,1.010357142857143,1.0,0.11132263737370192,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME096083.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,e50cf31ad98b7f51210052e77d41b909,0.645489486773683,2800000,6,264527000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
2455000,0.00847328929293766,0.9851524879614767,0.00847328929293766,0.008455673269788081,1.0114052953156822,1.0,0.18898447843156127,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME106274.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,7e5c6fc15cfeb135d4d535bfa81ff4ce,0.9851524879614767,2455000,7,262072000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
2437000,0.008411163342928341,0.6846615252784919,0.008273105676240965,0.008299023664306706,1.0166875260742594,1.0,0.21935211895232157,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME274363.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,2168e5d1461fa77bf18f6d85989f0786,0.696086832333619,2397000,8,259675000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
2251000,0.007769195192832046,0.7021875,0.007755389426163308,0.007829074847862584,1.0231419670672006,1.0,0.16176130270613087,/hps/nobackup2/production/metagenomics/databases/human-gut_resource/uhgg_genomes/GUT_GENOME000285.fa,/nfs/public/rw/metagenomics/sourmash_search//signatures/genomes_index.sbt.json,319452b1a470a2e691e599da53af8a70,0.7034375,2247000,9,257428000,query_dir/S1_contigs.fa,,8ff4ea74,289734000
